new_name
New Asgard
North Atlantis
South Auroria
East Avalonia
West Aztlan
Central Baja
Upper Bayou
Lower Bluegrass
Greater Borderland
Lesser Brasilia
Outer Calypso
Inner Canaan
Old Capitaland
New Centennial
North Chesapeake
South Chinook
East Christiana
West Cibola
Central Cimarron
Upper Columbine
Lower Comanche
Greater Congaree
Lesser Coronado
Outer Cuyahoga
Inner Dakotah
Old Delmarva
New Deseret
North Dixieland
South Durango
East Eldorado
West Empyrean
Central Enchantment
Upper Evangeline
Lower Everglades
Greater Excelsior
Lesser Frontera
Outer Gadsden
Inner Galveston
Old Gila
New Gotham
North Heartland
South Hiawatha
East Hoosier
West Huron
Central Iroquois
Upper Kalamazoo
Lower Keystone
Greater Knickerbocker
Lesser Kodiak
Outer Lakota
Inner Llano
Old Magnolia
New Manitou
North Mariana
South Menominee
East Mesabi
West Michiana
Central Midland
Upper Millennial
Lower Mohawk
Greater Monongah
Lesser Montezuma
Outer Muskogee
Inner Nakoda
Old Nantucket
New Narragansett
North Navajo
South Nueces
East Nutmeg
West Ocala
Central Ocmulgee
Upper Ohana
Lower Ojibwe
Greater Okeechobee
Lesser Olympus
Outer Oneida
Inner Onondaga
Old Osage
New Ouachita
North Palmetto
South Panhandle
East Pawnee
West Pecos
Central Pelican
Upper Piedmont
Lower Pilgrim
Greater Piney Woods
Lesser Pocono
Outer Pomona
Inner Pontchartrain
Old Powhatan
New Prairie
North Pueblo
South Puget
East Quapaw
West Raritan
Central Rio Grande
Upper Roanoke
Lower Rockies
Greater Saguaro
Lesser Sakonnet
Outer Salish
Inner Sangre
Old Santee
New Saratoga
North Savanna
South Sawgrass
East Seminole
West Sequoia
Central Shenandoah
Upper Shoshone
Lower Sioux
Greater Skagit
Lesser Smoky
Outer Sonoran
Inner Susquehanna
Old Swanee
New Tahoe
North Tarheel
South Tejas
East Tenasserim
West Teton
Central Texarkana
Upper Timberland
Lower Tlingit
Greater Tombigbee
Lesser Tundra
Outer Tuscarora
Inner Uinta
Old Umpqua
New Unaka
North Uncompahgre
South Uwharrie
East Ventura
West Verde
Central Vermilion
Upper Vicksburg
Lower Vincennes
Greater Wabash
Lesser Wasatch
Outer Washita
Inner Watauga
Old Wichita
New Willamette
North Winnebago
South Wissahickon
East Yakima
West Yazoo
Central Yosemite
Upper Youghiogheny
Lower Yreka
Greater Yucatan
Lesser Zion
Outer Acadia
Inner Alamo
Old Allegheny
New Annapolis
North Antietam
South Appomattox
East Arcadia
West Argonne
Central Aspen
Upper Atchafalaya
Lower Azteca
Greater Badlands
Lesser Bayboro
Outer Beaufort
Inner Biscayne
Old Bitterroot
New Blackwater
North Bluestone
South Bohemia
East Bonneville
West Brazoria
Central Brunswick
Upper Canaveral
Lower Catawba
Greater Catskill
Lesser Chattahoochee
Outer Cheyenne
Inner Chippewa
Old Choctaw
New Cibola
North Congaree
South Cumberland
East Denali
West Diablo
Central Durango
Upper Eagleland
Lower Escambia
Greater Eureka
Lesser Evangeline
Outer Fairbanks
Inner Falmouth
Old Flathead
New Fontana
North Fremont
South Frontier
East Galveston
West Gila
Central Glacier
Upper Goshen
Lower Greenbrier
Greater Guadalupe
Lesser Hancock
Outer Hanover
Inner Harpers
Old Hatteras
New Hawkeye
North Hiawatha
South Hoover
East Huron
West Iberia
Central Iditarod
Upper Inyo
Lower Ipswich
Greater Juneau
Lesser Juniata
Outer Kanawha
Inner Kenai
Old Keweenaw
New Kingman
North Kiowa
South Klamath
East Kodiak
West Kootenai
Central Lafourche
Upper Lancaster
Lower Laramie
Greater Lassen
Lesser Lehigh
Outer Lenape
Inner Lubbock
Old Mackinac
New Madeira
North Mariposa
South Mendocino
East Merrimack
West Missoula
Central Mohave
Upper Monmouth
Lower Montauk
Greater Nantahala
Lesser Natchez
Outer Navarro
Inner Niobrara
Old Nokota
New Ocracoke
North Ogeechee
South Okefenokee
East Oquirrh
West Osceola
Central Ossabaw
Upper Ouachita
Lower Ozaukee
Greater Palo Duro
Lesser Pascagoula
Outer Passamaquoddy
Inner Pawtucket
Old Pawuxet
New Pemigewasset
North Pensacola
South Pepin
East Pontiac
West Piscataqua
Central Pocono
Upper Portage
Lower Rappahannock
Greater Raritan
Lesser Roanoke
Outer Saginaw
Inner Salinas
Old Saranac
New Sawtooth
North Schuylkill
South Scioto
East Shasta
West Shenango
Central Siskiyou
Upper Spokane
Lower Stanislaus
Greater Stockton
Lesser Sumter
Outer Taconic
Inner Talladega
Old Tappan
New Temecula
North Timpanogos
South Tishomingo
East Tohono
West Tonopah
Central Tualatin
Upper Tugaloo
Lower Tuscaloosa
Greater Unami
Lesser Uncompahgre
Outer Umatilla
Inner Umpqua
Old Uintah
New Uwharrie
North Wabasha
South Waccamaw
East Wailua
West Wallowa
Central Watauga
Upper Waukegan
Lower Wichita
Greater Willapa
Lesser Winooski
Outer Wissahickon
Inner Yadkin
Old Yakima
New Yalobusha
North Yamhill
South Yaquina
East Yavapai
West Yellowstone
Central Youghiogheny
Upper Yucaipa
Lower Zuni
Old New Albany
Elysium
Euphoria
Fredonia
Freedonia
Frontier
Glacieria
Gloriosa
Harmonia
Helenia
Hibernia
Hudsonia
Ionia
Laconia
Laurentia
Liberia
Lucentia
Lumieria
Lunaria
Magnolia
Maritima
Mayflower
Metroland
Cibola
Chronia
Colonia
Concordia
Danubia
Delmarva
Deseret
Dixie
Eldorado
Augusta
Cascadia
